"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"448","غبهنوشح","BENX1","ح . بهنوش ایران","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1BENN0101"
"449","غپاک","LPAK1","لبنیات پاک","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1LPAK0001"
"450","غپاکح","LPAX1","ح . لبنیات پاک","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1LPAK0101"
"451","غپینو","MINO1","پارس مینو","محصولات غذایی و آشامیدنی به جز قند و شکر","تابلو فرعی","خاص","فعال","IRO1MINO0001"
"452","غپینوح","MINX1","ح . پارس مینو","محصولات غذایی و آشامیدنی به جز قند و شکر","تابلو فرعی","خاص","فعال","IRR1MINO0101"
"453","غچین","CHCH1","کشت و صنعت چین چین","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","متوقف","IRO1CHCH0001"
"454","غچینح","CHCX1","ح . کشت و صنعت چین چین","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1CHCH0101"
"455","غدام","KDPS1","خوراک دام پارس","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1KDPS0001"
"456","غدامح","KDPX1","ح . خوراک دام پارس","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1KDPS0101"
"457","غدشت","DMOR1","دشت مرغاب","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1DMOR0001"
"458","غدشتح","DMOX1","ح . دشت مرغاب","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1DMOR0101"
"459","غزر","ZARM1","صنعتی زر ماکارون","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1ZARM0001"
"460","غساسا","SASN1","شرکت ساسان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1SASN0001"
"461","غساساح","SASX1","ح . ساسان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1SASN0101"
"462","غسالم","SLMN1","سالمین","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1SLMN0001"
"463","غسالمح","SLMX1","ح . سالمین","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1SLMN0101"
"464","غشاذر","SHPZ1","پگاه آذربایجان غربی","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1SHPZ0001"
"465","غشاذرح","SHPX1","ح . پگاه آذربایجان غربی","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1SHPZ0101"
"466","غشان","SPKH1","شیر پاستوریزه پگاه خراسان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1SPKH0001"
"467","غشانح","SPKX1","ح . شیر پاستوریزه پگاه خراسان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1SPKH0101"
"468","غشصفا","SPPE1","شیر پاستوریزه پگاه اصفهان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1SPPE0001"
"469","غشصفاح","SPPX1","ح . شیر پاستوریزه پگاه اصفهان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1SPPE0101"
"470","غشهد","SHAD1","شهد ایران ","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1SHAD0001"
"471","غشهدح","SHAX1","ح . شهد ایران","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1SHAD0101"
"472","غگرجی","GORJ1","بیسکویت گرجی","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1GORJ0001"
"473","غگرجیح","GORX1","ح . بیسکویت گرجی","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1GORJ0101"
"474","غگل","GCOZ1","گلوکوزان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1GCOZ0001"
"475","غگلح","GCOX1","ح . گلوکوزان","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1GCOZ0101"
"476","غمارگ","MRGN1","مارگارین","محصولات غذایی و آشامیدنی به جز قند و شکر","تابلو فرعی","خاص","فعال","IRO1MRGN0001"
"477","غمارگح","MRGX1","ح . مارگارین","محصولات غذایی و آشامیدنی به جز قند و شکر","تابلو فرعی","خاص","فعال","IRR1MRGN0101"
"478","غمهرا","MRAM1","تولیدی مهرام","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRO1MRAM0001"
"479","غمهراح","MRAX1","ح . تولیدی مهرام","محصولات غذایی و آشامیدنی به جز قند و شکر","فهرست اولیه","خاص","فعال","IRR1MRAM0101"
