,user,follower
177,SaitoOfficial,1304253909100359680
178,SaitoOfficial,1463573938718527489
179,SaitoOfficial,1216860633548779522
180,SaitoOfficial,1199141892396597250
181,SaitoOfficial,1438475726274146314
182,SaitoOfficial,1289438661445115904
183,SaitoOfficial,1255578104334102528
184,SaitoOfficial,1385067166567788545
185,SaitoOfficial,1525370964695216129
186,SaitoOfficial,167816082
187,SaitoOfficial,1470791632509362177
188,SaitoOfficial,1500092295496052741
189,SaitoOfficial,1464859964422373376
190,SaitoOfficial,1465704954568396809
191,SaitoOfficial,1454902237810069511
192,SaitoOfficial,1376474197162029057
193,SaitoOfficial,1333212628458606593
194,SaitoOfficial,1349348356422840321
195,SaitoOfficial,1440109819034226688
196,SaitoOfficial,1145989232130965511
197,SaitoOfficial,861397931181527045
198,SaitoOfficial,937767295
199,SaitoOfficial,1470867584685912073
200,SaitoOfficial,2958855415
201,SaitoOfficial,1355545784566034438
202,SaitoOfficial,1428709143372648450
203,SaitoOfficial,1506511887537565699
204,SaitoOfficial,1371673339916292103
205,SaitoOfficial,1421313142060044293
206,SaitoOfficial,1329449149985681408
207,SaitoOfficial,1020885574746599425
208,SaitoOfficial,1445145958317268992
209,SaitoOfficial,1525099909241774080
210,SaitoOfficial,1105067665259937795
211,SaitoOfficial,973020450891628545
212,SaitoOfficial,1350224871486271488
213,SaitoOfficial,1505139778441945090
214,SaitoOfficial,39500058
215,SaitoOfficial,1331763161196707846
216,SaitoOfficial,1355593827969589253
217,SaitoOfficial,108690711
218,SaitoOfficial,974662661039427584
219,SaitoOfficial,1496228308371054600
220,SaitoOfficial,2833261406
221,SaitoOfficial,2858846313
222,SaitoOfficial,900240121
223,SaitoOfficial,2402019044
224,SaitoOfficial,1357652134469267458
225,SaitoOfficial,1134537283762315264
226,SaitoOfficial,2762576597
227,SaitoOfficial,1466040340956254215
228,SaitoOfficial,1440004985216016387
229,SaitoOfficial,1509085691313020938
230,SaitoOfficial,1413880203349307396
231,SaitoOfficial,1082067124502347776
232,SaitoOfficial,2437964251
233,SaitoOfficial,236057714
234,SaitoOfficial,1516794953564753922
235,SaitoOfficial,1512689142085390339
236,SaitoOfficial,26354463
237,SaitoOfficial,1063510435373174785
238,SaitoOfficial,1444995919364050951
